               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091777,            0.083417,             0.08373,            0.006345,           0.0018468,           0.0038025,           0.0015348,            0.079523,            0.064795,            0.078136,           0.0033329,           0.0033329,            0.070004
                   1,            0.074533,            0.084471,            0.074856,            0.077905,            0.015929,            0.044937,            0.021789,            0.069175,            0.062979,            0.065008,           0.0066442,           0.0066442,            0.039982
                   2,            0.068998,            0.082746,            0.063195,             0.20381,            0.057983,             0.12205,            0.068235,            0.063181,            0.061286,            0.051676,           0.0099336,           0.0099336,           0.0099381
                   3,            0.065021,            0.080841,            0.053941,             0.39029,            0.099276,             0.23599,             0.14365,            0.059429,            0.059648,            0.043796,            0.009901,            0.009901,            0.009901
                   4,              0.0624,            0.079114,            0.048649,             0.40149,             0.13008,             0.26484,             0.16552,            0.057424,            0.058682,            0.039832,            0.009901,            0.009901,            0.009901
                   5,            0.060757,            0.078234,             0.04545,             0.46569,             0.15082,             0.30812,             0.19613,            0.056214,             0.05809,            0.037624,            0.009868,            0.009868,            0.009868
                   6,            0.059597,            0.077583,            0.042935,             0.48625,             0.16071,             0.32669,              0.2116,            0.055497,            0.057846,            0.036308,            0.009835,            0.009835,            0.009835
                   7,            0.058836,            0.076975,            0.041255,             0.50116,             0.16249,             0.33394,             0.21844,            0.055071,            0.057901,            0.035471,            0.009802,            0.009802,            0.009802
                   8,            0.058091,            0.076428,            0.039874,             0.55096,             0.16286,             0.35707,             0.22755,            0.054802,            0.058152,            0.034879,            0.009769,            0.009769,            0.009769
                   9,            0.057602,            0.076013,            0.038752,             0.55347,             0.16121,             0.35674,             0.23395,            0.054637,            0.058598,             0.03441,            0.009736,            0.009736,            0.009736
                  10,            0.057078,            0.075348,            0.037852,             0.56122,             0.15887,              0.3592,             0.23816,            0.054536,            0.059234,            0.034015,            0.009703,            0.009703,            0.009703
                  11,             0.05665,            0.075551,            0.037091,             0.57319,             0.15579,             0.36664,             0.24217,            0.054448,            0.059931,            0.033631,             0.00967,             0.00967,             0.00967
                  12,             0.05633,            0.074917,            0.036285,             0.57795,             0.15373,             0.36848,             0.24743,            0.054371,            0.060574,            0.033229,            0.009637,            0.009637,            0.009637
                  13,             0.05604,            0.074779,            0.035694,             0.59797,             0.15399,             0.37538,             0.25275,            0.054247,            0.061081,            0.032776,            0.009604,            0.009604,            0.009604
                  14,            0.055728,            0.074372,            0.035189,             0.61074,             0.15606,             0.38463,             0.26064,            0.054062,            0.061406,            0.032246,            0.009571,            0.009571,            0.009571
                  15,            0.055517,            0.074407,            0.034706,             0.61971,             0.16211,             0.39379,             0.26949,            0.053813,            0.061446,            0.031644,            0.009538,            0.009538,            0.009538
                  16,            0.055313,            0.074222,            0.034308,             0.63155,             0.16848,             0.40209,             0.27728,            0.053508,            0.061228,            0.030985,            0.009505,            0.009505,            0.009505
                  17,            0.054957,            0.073731,            0.033944,             0.64559,               0.178,             0.41469,             0.28564,            0.053163,            0.060895,            0.030314,            0.009472,            0.009472,            0.009472
                  18,            0.054842,            0.073674,            0.033629,             0.65192,              0.1879,             0.42202,             0.29128,            0.052791,            0.060446,            0.029651,            0.009439,            0.009439,            0.009439
                  19,            0.054589,            0.073391,            0.033304,             0.66565,              0.1968,             0.43081,             0.29872,            0.052403,            0.059916,            0.029013,            0.009406,            0.009406,            0.009406
                  20,            0.054533,            0.073298,            0.033012,             0.68562,             0.20823,             0.44537,             0.30754,            0.052003,            0.059336,             0.02839,            0.009373,            0.009373,            0.009373
                  21,            0.054291,            0.073347,            0.032718,             0.67112,             0.22163,             0.45221,             0.31298,            0.051615,            0.058673,            0.027783,             0.00934,             0.00934,             0.00934
                  22,            0.054219,             0.07311,            0.032569,             0.68484,             0.23415,             0.46572,             0.32344,             0.05123,            0.057978,             0.02723,            0.009307,            0.009307,            0.009307
                  23,            0.054074,            0.073015,            0.032158,             0.69232,             0.24608,             0.47609,             0.33174,            0.050857,            0.057337,            0.026707,            0.009274,            0.009274,            0.009274
                  24,            0.053964,            0.072965,            0.032045,             0.68926,             0.25792,             0.48059,             0.33533,            0.050505,             0.05672,            0.026214,            0.009241,            0.009241,            0.009241
                  25,            0.053864,            0.072826,            0.031805,             0.69075,             0.27028,             0.48785,             0.34057,            0.050169,            0.056158,            0.025757,            0.009208,            0.009208,            0.009208
                  26,            0.053727,            0.073037,            0.031642,             0.69312,             0.28302,             0.49644,             0.34731,            0.049841,            0.055646,            0.025337,            0.009175,            0.009175,            0.009175
                  27,            0.053689,            0.072614,            0.031473,             0.68894,             0.29304,             0.50051,             0.35199,            0.049549,             0.05517,             0.02495,            0.009142,            0.009142,            0.009142
                  28,            0.053447,            0.072597,            0.031277,             0.68765,             0.30386,             0.50555,              0.3561,            0.049279,            0.054734,            0.024608,            0.009109,            0.009109,            0.009109
                  29,            0.053481,            0.072301,            0.031132,             0.69458,              0.3122,             0.51404,             0.36042,            0.049011,            0.054341,            0.024269,            0.009076,            0.009076,            0.009076
                  30,             0.05329,             0.07226,            0.031002,             0.69547,             0.32162,              0.5199,             0.36497,            0.048783,            0.053998,            0.023967,            0.009043,            0.009043,            0.009043
                  31,            0.053262,            0.072355,            0.030828,             0.68754,             0.33038,             0.52141,             0.36597,            0.048564,            0.053679,            0.023676,             0.00901,             0.00901,             0.00901
                  32,            0.053138,            0.072361,            0.030717,             0.67833,              0.3387,             0.52095,             0.36639,            0.048366,            0.053391,            0.023432,            0.008977,            0.008977,            0.008977
                  33,            0.053029,            0.072094,            0.030639,             0.66799,             0.34518,             0.52055,             0.36662,            0.048181,             0.05313,            0.023196,            0.008944,            0.008944,            0.008944
                  34,            0.052961,            0.072005,            0.030435,             0.66858,             0.35123,             0.52483,             0.36584,            0.048006,            0.052904,            0.022973,            0.008911,            0.008911,            0.008911
                  35,            0.052826,            0.071738,            0.030293,             0.66847,             0.35858,             0.52842,             0.36884,            0.047854,            0.052698,            0.022764,            0.008878,            0.008878,            0.008878
                  36,            0.052816,            0.071919,            0.030197,             0.66611,             0.36547,             0.53113,              0.3705,            0.047705,            0.052526,            0.022582,            0.008845,            0.008845,            0.008845
                  37,            0.052777,            0.071511,            0.030198,             0.66048,             0.37167,              0.5324,             0.37092,            0.047571,             0.05236,            0.022404,            0.008812,            0.008812,            0.008812
                  38,            0.052711,            0.071734,            0.030079,              0.6558,             0.37706,             0.53381,             0.37319,            0.047445,            0.052223,            0.022256,            0.008779,            0.008779,            0.008779
                  39,            0.052616,             0.07157,            0.029808,             0.65584,             0.38057,             0.53461,              0.3732,            0.047332,             0.05208,            0.022126,            0.008746,            0.008746,            0.008746
                  40,             0.05254,            0.071883,            0.029763,             0.64921,               0.386,             0.53491,             0.37476,            0.047224,            0.051969,            0.021987,            0.008713,            0.008713,            0.008713
                  41,            0.052527,            0.071663,            0.029746,              0.6396,             0.39222,             0.53463,              0.3753,            0.047127,             0.05187,            0.021855,             0.00868,             0.00868,             0.00868
                  42,            0.052459,            0.071778,            0.029532,             0.63699,              0.3962,             0.53534,             0.37657,            0.047026,            0.051761,            0.021717,            0.008647,            0.008647,            0.008647
                  43,            0.052416,            0.071416,            0.029574,             0.63547,             0.39824,              0.5354,             0.37754,            0.046935,            0.051666,            0.021586,            0.008614,            0.008614,            0.008614
                  44,            0.052368,            0.071501,            0.029352,             0.63142,             0.40121,             0.53536,             0.37715,            0.046848,            0.051585,            0.021463,            0.008581,            0.008581,            0.008581
                  45,            0.052273,            0.071457,            0.029366,             0.63188,             0.40561,             0.53839,             0.37879,             0.04677,            0.051516,            0.021363,            0.008548,            0.008548,            0.008548
                  46,            0.052234,             0.07128,            0.029275,             0.63292,             0.40941,             0.54113,             0.38098,            0.046695,             0.05145,            0.021262,            0.008515,            0.008515,            0.008515
                  47,            0.052109,            0.071128,            0.029158,             0.63297,             0.41189,             0.54243,             0.38154,            0.046624,            0.051369,            0.021159,            0.008482,            0.008482,            0.008482
                  48,            0.052153,            0.071346,            0.029059,             0.62908,             0.41518,             0.54185,             0.38215,            0.046563,            0.051317,             0.02108,            0.008449,            0.008449,            0.008449
                  49,            0.052116,            0.071346,            0.029037,             0.62611,             0.41629,             0.54175,             0.38247,            0.046499,            0.051257,            0.021009,            0.008416,            0.008416,            0.008416
                  50,             0.05201,            0.071223,            0.028993,             0.62605,             0.41922,             0.54429,             0.38367,            0.046442,            0.051201,            0.020929,            0.008383,            0.008383,            0.008383
                  51,            0.051903,            0.071036,            0.028843,             0.62371,             0.42179,             0.54468,             0.38467,            0.046386,            0.051143,            0.020843,             0.00835,             0.00835,             0.00835
                  52,            0.051912,            0.071312,             0.02881,             0.62252,             0.42359,             0.54494,             0.38508,            0.046335,            0.051089,            0.020817,            0.008317,            0.008317,            0.008317
                  53,            0.051906,             0.07112,            0.028739,             0.62022,              0.4253,             0.54533,              0.3862,            0.046277,            0.051039,            0.020731,            0.008284,            0.008284,            0.008284
                  54,            0.051832,            0.070761,            0.028611,             0.61883,             0.42835,             0.54646,             0.38615,            0.046214,            0.050997,            0.020649,            0.008251,            0.008251,            0.008251
                  55,            0.051789,            0.071031,            0.028538,             0.61718,             0.43117,             0.54739,             0.38655,            0.046157,            0.050956,            0.020568,            0.008218,            0.008218,            0.008218
                  56,            0.051752,            0.071091,            0.028507,              0.6174,             0.43303,              0.5484,             0.38701,            0.046101,             0.05092,              0.0205,            0.008185,            0.008185,            0.008185
                  57,            0.051672,            0.070953,            0.028507,              0.6173,             0.43599,             0.54979,             0.38824,            0.046051,            0.050877,            0.020426,            0.008152,            0.008152,            0.008152
                  58,            0.051662,            0.070887,            0.028411,             0.61542,             0.43665,             0.54994,             0.38866,            0.046004,            0.050843,            0.020345,            0.008119,            0.008119,            0.008119
                  59,            0.051579,            0.070687,            0.028366,             0.61846,             0.43891,             0.55252,             0.38956,            0.045958,            0.050809,            0.020281,            0.008086,            0.008086,            0.008086
                  60,            0.051548,            0.070711,             0.02828,             0.61578,             0.44139,             0.55316,             0.39025,            0.045917,            0.050775,            0.020236,            0.008053,            0.008053,            0.008053
                  61,            0.051561,            0.070741,            0.028196,             0.61742,             0.44268,             0.55459,             0.39072,            0.045877,            0.050743,            0.020197,             0.00802,             0.00802,             0.00802
                  62,            0.051503,            0.070825,            0.028242,             0.61274,             0.44418,             0.55443,             0.39099,            0.045833,            0.050722,            0.020165,            0.007987,            0.007987,            0.007987
                  63,            0.051473,            0.070559,            0.028201,             0.61291,              0.4452,              0.5544,             0.39143,            0.045796,            0.050699,             0.02013,            0.007954,            0.007954,            0.007954
                  64,            0.051464,            0.070725,            0.028071,             0.61307,             0.44677,             0.55502,             0.39283,            0.045762,             0.05066,            0.020089,            0.007921,            0.007921,            0.007921
                  65,            0.051326,            0.070429,            0.027931,             0.61169,             0.44845,             0.55581,             0.39292,            0.045723,            0.050635,             0.02003,            0.007888,            0.007888,            0.007888
                  66,            0.051409,            0.070666,            0.027997,             0.61629,             0.45105,             0.55888,             0.39452,            0.045688,            0.050604,            0.019991,            0.007855,            0.007855,            0.007855
                  67,            0.051332,            0.070303,            0.027969,             0.61467,             0.45278,             0.55881,             0.39493,            0.045657,            0.050584,            0.019941,            0.007822,            0.007822,            0.007822
                  68,            0.051357,            0.070684,            0.027971,             0.61135,             0.45409,             0.55796,              0.3949,            0.045629,            0.050567,            0.019899,            0.007789,            0.007789,            0.007789
                  69,            0.051262,            0.070566,            0.027825,             0.61152,             0.45432,              0.5585,             0.39551,            0.045594,            0.050543,            0.019866,            0.007756,            0.007756,            0.007756
                  70,            0.051214,            0.070552,            0.027744,             0.60912,             0.45628,             0.55855,             0.39543,            0.045558,            0.050512,            0.019822,            0.007723,            0.007723,            0.007723
                  71,            0.051161,            0.070545,            0.027757,             0.60887,             0.45686,             0.55896,             0.39595,            0.045523,            0.050481,             0.01978,             0.00769,             0.00769,             0.00769
                  72,            0.051144,            0.070645,             0.02771,             0.60884,             0.45754,             0.55872,             0.39595,            0.045486,            0.050444,            0.019734,            0.007657,            0.007657,            0.007657
                  73,            0.051151,             0.07042,            0.027682,             0.61212,             0.45896,             0.56064,             0.39758,            0.045449,            0.050424,            0.019692,            0.007624,            0.007624,            0.007624
                  74,            0.051105,             0.07032,            0.027519,             0.61348,             0.45908,              0.5615,              0.3987,            0.045415,            0.050399,            0.019649,            0.007591,            0.007591,            0.007591
                  75,            0.051097,            0.070269,            0.027451,             0.61225,             0.46127,             0.56223,             0.39882,            0.045388,            0.050379,            0.019602,            0.007558,            0.007558,            0.007558
                  76,            0.050976,            0.069988,            0.027559,             0.61142,             0.46195,             0.56232,             0.39856,            0.045353,            0.050358,             0.01957,            0.007525,            0.007525,            0.007525
                  77,            0.051035,            0.070415,             0.02748,             0.61296,             0.46336,             0.56388,             0.39972,            0.045316,            0.050349,            0.019525,            0.007492,            0.007492,            0.007492
                  78,            0.050888,             0.07019,            0.027372,             0.61285,             0.46437,             0.56414,             0.40004,            0.045282,            0.050338,            0.019472,            0.007459,            0.007459,            0.007459
                  79,            0.050908,            0.070226,             0.02733,             0.61312,             0.46431,             0.56466,             0.40013,            0.045243,            0.050324,            0.019428,            0.007426,            0.007426,            0.007426
                  80,            0.050935,            0.070175,            0.027391,             0.61237,             0.46524,             0.56499,             0.39988,            0.045218,            0.050308,            0.019388,            0.007393,            0.007393,            0.007393
                  81,            0.050879,            0.070279,            0.027355,             0.61681,             0.46566,             0.56629,             0.40096,            0.045194,            0.050281,            0.019349,             0.00736,             0.00736,             0.00736
                  82,            0.050806,            0.070019,            0.027296,             0.61644,             0.46633,             0.56692,             0.40177,            0.045168,            0.050259,            0.019306,            0.007327,            0.007327,            0.007327
                  83,            0.050778,            0.070154,            0.027248,             0.61549,             0.46819,             0.56732,             0.40134,            0.045135,            0.050241,            0.019255,            0.007294,            0.007294,            0.007294
                  84,            0.050818,            0.069957,            0.027138,             0.61654,             0.46605,             0.56688,             0.40183,            0.045109,            0.050225,            0.019228,            0.007261,            0.007261,            0.007261
                  85,            0.050703,            0.070045,            0.027108,             0.61598,             0.46834,             0.56824,             0.40308,            0.045079,            0.050196,            0.019201,            0.007228,            0.007228,            0.007228
                  86,            0.050676,            0.069893,            0.027106,             0.62382,             0.46512,             0.56803,             0.40273,            0.045056,            0.050178,            0.019162,            0.007195,            0.007195,            0.007195
                  87,            0.050685,            0.070085,            0.027021,             0.62475,             0.46661,             0.56904,             0.40377,            0.045031,            0.050163,            0.019131,            0.007162,            0.007162,            0.007162
                  88,            0.050664,            0.070135,            0.026922,             0.61349,             0.47256,             0.56946,               0.404,             0.04501,            0.050153,            0.019118,            0.007129,            0.007129,            0.007129
                  89,            0.050597,            0.070101,            0.026941,             0.62189,             0.46854,             0.56972,             0.40484,            0.044993,            0.050135,            0.019102,            0.007096,            0.007096,            0.007096
                  90,            0.050524,            0.069739,            0.026867,             0.61542,             0.47235,             0.57062,             0.40523,            0.044977,            0.050119,            0.019071,            0.007063,            0.007063,            0.007063
                  91,            0.050519,            0.069847,            0.026903,             0.61591,             0.47249,             0.57102,             0.40571,            0.044956,            0.050106,            0.019035,             0.00703,             0.00703,             0.00703
                  92,            0.050492,            0.069905,            0.026795,             0.61646,             0.47309,             0.57178,             0.40628,            0.044936,            0.050099,            0.019016,            0.006997,            0.006997,            0.006997
                  93,            0.050475,            0.069827,            0.026675,             0.62654,             0.46824,             0.57055,             0.40554,            0.044922,             0.05009,            0.018994,            0.006964,            0.006964,            0.006964
                  94,            0.050469,             0.06959,            0.026725,             0.62137,             0.47149,             0.57184,             0.40728,            0.044909,            0.050072,               0.019,            0.006931,            0.006931,            0.006931
                  95,            0.050404,            0.069736,            0.026668,             0.61938,             0.47418,             0.57286,             0.40784,            0.044888,            0.050058,            0.018975,            0.006898,            0.006898,            0.006898
                  96,            0.050366,            0.069982,            0.026641,              0.6218,             0.47213,             0.57244,             0.40713,            0.044862,            0.050036,            0.018936,            0.006865,            0.006865,            0.006865
                  97,            0.050316,             0.06974,            0.026628,             0.61868,             0.47342,             0.57285,              0.4079,            0.044844,             0.05001,            0.018901,            0.006832,            0.006832,            0.006832
                  98,            0.050348,            0.069734,            0.026519,             0.63892,             0.46466,             0.57301,             0.40757,            0.044828,            0.049992,            0.018858,            0.006799,            0.006799,            0.006799
                  99,            0.050331,            0.069754,            0.026585,             0.61567,             0.47892,              0.5752,             0.40883,            0.044806,            0.049978,            0.018823,            0.006766,            0.006766,            0.006766
                 100,            0.050264,            0.069649,            0.026516,              0.6356,               0.468,             0.57413,             0.40867,             0.04478,            0.049971,            0.018783,            0.006733,            0.006733,            0.006733
                 101,            0.050218,            0.069844,              0.0265,             0.63528,             0.46916,             0.57475,             0.40902,            0.044761,            0.049961,            0.018755,              0.0067,              0.0067,              0.0067
                 102,            0.050209,            0.069649,            0.026428,             0.61504,             0.47811,             0.57445,             0.40939,            0.044754,            0.049941,            0.018719,            0.006667,            0.006667,            0.006667
                 103,            0.050204,              0.0696,            0.026412,             0.61274,             0.47865,             0.57394,             0.40972,            0.044756,            0.049937,            0.018702,            0.006634,            0.006634,            0.006634
                 104,            0.050156,             0.06961,            0.026321,             0.61743,             0.47665,             0.57384,             0.40953,            0.044741,            0.049927,            0.018684,            0.006601,            0.006601,            0.006601
                 105,            0.050129,            0.069491,             0.02637,             0.62142,             0.47515,             0.57368,             0.40932,             0.04472,            0.049916,            0.018673,            0.006568,            0.006568,            0.006568
                 106,            0.050148,            0.069486,            0.026314,             0.62385,             0.47391,             0.57373,             0.40951,            0.044701,              0.0499,            0.018666,            0.006535,            0.006535,            0.006535
                 107,            0.050149,            0.069394,            0.026183,              0.6183,             0.47717,             0.57399,             0.41024,            0.044681,            0.049883,            0.018654,            0.006502,            0.006502,            0.006502
                 108,            0.050161,            0.069645,            0.026179,             0.62932,             0.47247,             0.57446,             0.41043,             0.04466,            0.049859,             0.01865,            0.006469,            0.006469,            0.006469
                 109,            0.050009,            0.069351,             0.02605,              0.6163,             0.47995,             0.57471,             0.41079,            0.044656,            0.049846,            0.018639,            0.006436,            0.006436,            0.006436
                 110,            0.049961,            0.069378,            0.026154,             0.61149,             0.48152,             0.57422,             0.41109,             0.04464,            0.049834,            0.018625,            0.006403,            0.006403,            0.006403
                 111,            0.049999,            0.069314,            0.026071,             0.61033,              0.4829,             0.57498,             0.41118,            0.044622,            0.049823,            0.018588,             0.00637,             0.00637,             0.00637
                 112,            0.050002,            0.069509,            0.025983,             0.61728,             0.48054,             0.57556,             0.41203,            0.044605,            0.049824,            0.018582,            0.006337,            0.006337,            0.006337
                 113,            0.049937,            0.069187,             0.02603,             0.62551,             0.47606,             0.57544,             0.41226,            0.044592,            0.049818,            0.018572,            0.006304,            0.006304,            0.006304
                 114,            0.049982,            0.069572,            0.025879,             0.61123,             0.48527,             0.57644,             0.41284,            0.044567,            0.049814,            0.018548,            0.006271,            0.006271,            0.006271
                 115,            0.049852,            0.069048,            0.025967,             0.61177,             0.48545,             0.57696,             0.41338,            0.044553,            0.049799,            0.018516,            0.006238,            0.006238,            0.006238
                 116,            0.049812,             0.06924,             0.02593,             0.61268,             0.48622,             0.57753,             0.41313,            0.044542,            0.049778,            0.018499,            0.006205,            0.006205,            0.006205
                 117,            0.049892,            0.069504,             0.02588,             0.61174,             0.48482,             0.57713,             0.41328,             0.04455,            0.049748,            0.018502,            0.006172,            0.006172,            0.006172
                 118,            0.049783,            0.069385,            0.025827,             0.61904,             0.48177,             0.57762,             0.41317,            0.044532,            0.049746,            0.018472,            0.006139,            0.006139,            0.006139
                 119,            0.049796,            0.069124,            0.025745,             0.62421,             0.48108,             0.57884,             0.41406,            0.044511,            0.049727,            0.018435,            0.006106,            0.006106,            0.006106
                 120,            0.049733,            0.068869,            0.025778,             0.61153,             0.48765,             0.57886,             0.41427,            0.044493,            0.049713,            0.018394,            0.006073,            0.006073,            0.006073
                 121,            0.049789,            0.069063,             0.02564,             0.60967,             0.48771,              0.5785,             0.41393,            0.044479,            0.049704,            0.018374,             0.00604,             0.00604,             0.00604
                 122,            0.049677,             0.06918,            0.025741,             0.61176,             0.48594,             0.57833,             0.41395,            0.044465,            0.049692,            0.018348,            0.006007,            0.006007,            0.006007
                 123,            0.049691,            0.069172,            0.025671,              0.6113,             0.48668,             0.57844,              0.4139,             0.04445,            0.049686,             0.01832,            0.005974,            0.005974,            0.005974
                 124,            0.049623,            0.069117,            0.025683,             0.60903,              0.4884,             0.57868,             0.41446,             0.04443,            0.049676,            0.018307,            0.005941,            0.005941,            0.005941
                 125,            0.049595,            0.069104,            0.025512,             0.61412,             0.48844,             0.57977,             0.41477,            0.044421,             0.04967,              0.0183,            0.005908,            0.005908,            0.005908
                 126,            0.049606,            0.068923,            0.025514,             0.61475,             0.48845,             0.58032,             0.41533,            0.044408,            0.049656,            0.018265,            0.005875,            0.005875,            0.005875
                 127,            0.049565,            0.069051,            0.025481,             0.60826,             0.49092,             0.57948,             0.41521,            0.044391,             0.04965,            0.018246,            0.005842,            0.005842,            0.005842
                 128,            0.049603,            0.068921,            0.025604,             0.61696,             0.48671,             0.57998,             0.41524,            0.044372,             0.04963,            0.018239,            0.005809,            0.005809,            0.005809
                 129,             0.04951,            0.068987,            0.025429,             0.61868,             0.48602,             0.58016,             0.41554,            0.044349,            0.049616,            0.018213,            0.005776,            0.005776,            0.005776
                 130,            0.049482,            0.068938,            0.025347,             0.61023,             0.49181,             0.58141,              0.4161,            0.044335,            0.049608,            0.018201,            0.005743,            0.005743,            0.005743
                 131,            0.049584,            0.069072,            0.025483,             0.62036,             0.48752,             0.58189,             0.41671,            0.044321,            0.049593,            0.018191,             0.00571,             0.00571,             0.00571
                 132,            0.049471,             0.06892,            0.025295,             0.61346,             0.49337,             0.58339,             0.41778,            0.044312,            0.049581,            0.018171,            0.005677,            0.005677,            0.005677
                 133,            0.049458,            0.068954,            0.025318,             0.61611,             0.49287,             0.58376,             0.41779,              0.0443,            0.049572,            0.018154,            0.005644,            0.005644,            0.005644
                 134,            0.049435,            0.069048,             0.02519,             0.61322,             0.49446,              0.5837,             0.41808,            0.044294,            0.049561,            0.018149,            0.005611,            0.005611,            0.005611
                 135,            0.049415,            0.068991,            0.025179,             0.61963,             0.49138,             0.58373,             0.41842,            0.044284,            0.049551,            0.018143,            0.005578,            0.005578,            0.005578
                 136,            0.049359,            0.068757,            0.025195,             0.62015,             0.48845,             0.58269,             0.41812,            0.044268,            0.049542,            0.018107,            0.005545,            0.005545,            0.005545
                 137,            0.049395,            0.068922,            0.025107,             0.64222,             0.47872,             0.58281,             0.41857,            0.044252,            0.049539,            0.018082,            0.005512,            0.005512,            0.005512
                 138,            0.049262,             0.06863,            0.025187,             0.61675,             0.49394,             0.58458,             0.42021,            0.044238,            0.049529,            0.018069,            0.005479,            0.005479,            0.005479
                 139,            0.049306,            0.068597,            0.025035,             0.61931,             0.49281,             0.58506,             0.42058,            0.044221,            0.049506,            0.018067,            0.005446,            0.005446,            0.005446
                 140,            0.049212,            0.068764,            0.024994,             0.61389,             0.49823,             0.58643,             0.42054,            0.044204,            0.049486,            0.018057,            0.005413,            0.005413,            0.005413
                 141,            0.049227,            0.068749,            0.025003,             0.61271,              0.4976,              0.5856,             0.42048,            0.044184,            0.049467,            0.018048,             0.00538,             0.00538,             0.00538
                 142,            0.049184,            0.068897,             0.02488,             0.61355,             0.49685,             0.58558,             0.42075,            0.044173,            0.049453,            0.018027,            0.005347,            0.005347,            0.005347
                 143,            0.049181,            0.068596,            0.024965,             0.61541,             0.49759,             0.58655,               0.421,            0.044154,            0.049439,            0.017994,            0.005314,            0.005314,            0.005314
                 144,            0.049105,            0.068562,            0.024864,             0.61298,             0.49986,             0.58743,             0.42143,            0.044138,            0.049426,            0.017953,            0.005281,            0.005281,            0.005281
                 145,            0.049136,            0.068593,            0.024905,             0.62916,              0.4907,             0.58711,             0.42107,            0.044123,            0.049413,            0.017915,            0.005248,            0.005248,            0.005248
                 146,            0.049124,            0.068381,            0.024851,             0.61428,             0.50147,             0.58861,             0.42166,            0.044104,             0.04939,            0.017884,            0.005215,            0.005215,            0.005215
                 147,            0.049104,            0.068786,            0.024827,             0.62146,             0.49636,             0.58768,             0.42133,            0.044095,            0.049382,            0.017851,            0.005182,            0.005182,            0.005182
                 148,            0.049035,            0.068513,            0.024807,             0.61079,             0.50124,             0.58683,             0.42136,            0.044082,            0.049372,            0.017833,            0.005149,            0.005149,            0.005149
                 149,            0.049017,            0.068356,             0.02478,             0.63883,             0.48658,             0.58655,             0.42136,            0.044067,            0.049365,             0.01782,            0.005116,            0.005116,            0.005116
